# Puzzles from the Lichess puzzle database (CC0), chosen by python/puzzles.py.
# id<TAB>fen<TAB>moves (UCI; the first is the opponent's)<TAB>rating<TAB>themes
L25SZ	qr1r1nk1/5pp1/1p2pb1p/1B6/2NP1B2/1Q4Pb/PP3P1P/2R1R1K1 w - - 7 25	f4b8 a8g2	774	mate mateIn1 middlegame
Pv8lV	r2q1r2/1pp1p2k/p1n1B1p1/3p2P1/5b2/2P1P3/PP1NKPP1/R6Q b - - 1 19	h7g7 h1h6	776	mate mateIn1 middlegame
125Zx	r2qr1k1/p4ppp/2Q5/8/6n1/2N5/PP3PPK/R1BR4 w - - 0 18	h2g1 d8d1 c3d1 e8e1	776	mate mateIn2 middlegame sacrifice
ntIYZ	3r2k1/5pp1/8/1p2R3/1PrpR2p/2PQ1PqP/6P1/6K1 b - - 0 32	c4c3 e5e8 d8e8 e4e8	777	endgame mate mateIn2
Aj1JS	3r3k/3r1pp1/pp3q1p/2pBb3/P1P5/3Q2PP/1P2RP2/4R1K1 b - - 3 32	e5d4 e2e8 d8e8 e1e8	778	kingsideAttack mate mateIn2 middlegame
o2ji2	7k/5R1p/p4Np1/1p2p3/1P3r2/r3b3/4K1PP/3R4 b - - 3 38	f4f6 d1d8	779	endgame mate mateIn1
zikLF	2kr4/2p1r3/bp1qPp1p/p2p1Pp1/2PP2P1/4BQ1P/P5K1/1RR5 b - - 0 26	d5c4 f3a8	781	mate mateIn1 middlegame
5yzQb	2r3k1/pb2bp1p/1p2q1pB/5R2/3Q4/3B4/1P4PP/5RK1 b - - 0 23	g6f5 d4g7	781	mate mateIn1 middlegame
HjH1W	r1bq1r1k/1p4p1/p1np2p1/3N1p2/2B5/1N5R/PPP2PPP/R5K1 b - - 1 18	h8g8 d5e7	781	doubleCheck mate mateIn1 middlegame
M4qYh	1r4k1/2Nn4/1pb3p1/pB2P3/P2p3r/2P1R3/1P3P2/4R1K1 w - - 0 37	c3d4 h4h1	781	mate mateIn1 middlegame
